Time_PC,Time_Dev,Target,Yaw,Rate,Servo_Angle,Servo_PWM
1768638950.0748334,548580,0.0,-0.13,0.06,90.0,307.0
1768638950.0859978,548600,0.0,-0.13,-0.11,90.0,307.0
1768638950.0952253,548620,0.0,-0.13,-0.08,90.0,307.0
1768638950.1277165,548640,0.0,-0.13,-0.01,90.0,307.0
1768638950.1497874,548660,0.0,-0.13,0.06,91.0,309.0
1768638950.1599,548680,0.0,-0.13,-0.01,90.0,307.0
1768638950.1817014,548700,0.0,-0.13,-0.06,90.0,307.0
1768638950.191536,548720,0.0,-0.13,-0.01,90.0,307.0
1768638950.2234395,548740,0.0,-0.13,0.03,90.0,307.0
1768638950.2461958,548760,0.0,-0.13,-0.06,90.0,307.0
1768638950.2562056,548780,0.0,-0.13,-0.01,90.0,307.0
1768638950.2986555,548800,0.0,-0.13,-0.01,90.0,307.0
1768638950.31028,548820,0.0,-0.13,-0.01,90.0,307.0
1768638950.3205261,548840,0.0,-0.13,-0.01,90.0,307.0
1768638950.3423693,548860,0.0,-0.13,-0.08,90.0,307.0
1768638950.351917,548880,0.0,-0.13,-0.08,90.0,307.0
1768638950.3844423,548900,0.0,-0.13,0.06,90.0,307.0
1768638950.4092598,548920,0.0,-0.12,-0.01,89.0,305.0
1768638950.4220798,548940,0.0,-0.12,-0.01,90.0,307.0
1768638950.4379723,548960,0.0,-0.12,0.06,90.0,307.0
1768638950.4705064,548980,0.0,-0.12,-0.01,90.0,307.0
1768638950.480595,549000,0.0,-0.12,0.06,90.0,307.0
1768638950.5027664,549020,0.0,-0.12,-0.04,90.0,307.0
1768638950.5310874,549040,0.0,-0.12,0.13,90.0,307.0
1768638950.5447588,549060,0.0,-0.12,-0.08,90.0,307.0
1768638950.566987,549080,0.0,-0.12,0.06,90.0,307.0
1768638950.5769696,549100,0.0,-0.12,0.06,90.0,307.0
1768638950.5983202,549120,0.0,-0.12,0.06,90.0,307.0
1768638950.6392674,549140,0.0,-0.12,-0.03,90.0,307.0
1768638950.6411538,549160,0.0,-0.12,0.06,90.0,307.0
1768638950.6632912,549180,0.0,-0.12,-0.01,90.0,307.0
1768638950.6727686,549200,0.0,-0.12,0.03,90.0,307.0
1768638950.7048266,549220,0.0,-0.12,-0.01,90.0,307.0
1768638950.7273576,549240,0.0,-0.12,0.02,90.0,307.0
1768638950.7527757,549260,0.0,-0.12,-0.01,90.0,307.0
1768638950.7589874,549280,0.0,-0.12,-0.08,90.0,307.0
1768638950.791585,549300,0.0,-0.12,-0.03,90.0,307.0
1768638950.8014944,549320,0.0,-0.12,-0.01,90.0,307.0
1768638950.8237867,549340,0.0,-0.12,-0.05,90.0,307.0
1768638950.833346,549360,0.0,-0.12,-0.08,90.0,307.0
1768638950.8651745,549380,0.0,-0.12,-0.08,90.0,307.0
1768638950.8879247,549400,0.0,-0.12,-0.01,90.0,307.0
1768638950.8978746,549420,0.0,-0.12,-0.08,90.0,307.0
1768638950.9187617,549440,0.0,-0.12,-0.08,90.0,307.0
1768638950.9519496,549460,0.0,-0.12,-0.08,90.0,307.0
1768638950.9722724,549480,0.0,-0.12,-0.01,90.0,307.0
1768638950.9840066,549500,0.0,-0.12,-0.01,90.0,307.0
1768638950.9938512,549520,0.0,-0.12,-0.06,90.0,307.0
1768638951.0261056,549540,0.0,-0.12,-0.08,89.0,305.0
1768638951.047745,549560,0.0,-0.12,-0.05,90.0,307.0
1768638951.0719664,549580,0.0,-0.12,-0.01,90.0,307.0
1768638951.079815,549600,0.0,-0.12,-0.22,91.0,309.0
1768638951.1123865,549620,0.0,-0.12,-0.11,90.0,307.0
1768638951.1284385,549640,0.0,-0.12,-0.08,90.0,307.0
1768638951.1384118,549660,0.0,-0.12,-0.01,90.0,307.0
1768638951.1781275,549680,0.0,-0.12,-0.01,90.0,307.0
1768638951.1921365,549700,0.0,-0.12,-0.04,90.0,307.0
1768638951.2021985,549720,0.0,-0.12,-0.05,90.0,307.0
1768638951.224429,549740,0.0,-0.12,-0.08,90.0,307.0
1768638951.234028,549760,0.0,-0.12,-0.15,89.0,305.0
1768638951.282025,549780,0.0,-0.12,0.1,90.0,307.0
1768638951.2889867,549800,0.0,-0.12,-0.08,90.0,307.0
1768638951.298962,549820,0.0,-0.12,0.2,90.0,307.0
1768638951.320533,549840,0.0,-0.12,-0.08,90.0,307.0
1768638951.353035,549860,0.0,-0.12,-0.01,90.0,307.0
1768638951.3630738,549880,0.0,-0.12,-0.01,90.0,307.0
1768638951.390485,549900,0.0,-0.12,-0.08,90.0,307.0
1768638951.394752,549920,0.0,-0.12,0.06,90.0,307.0
1768638951.4266317,549940,0.0,-0.12,0.06,90.0,307.0
1768638951.4490614,549960,0.0,-0.12,-0.08,90.0,307.0
1768638951.4591267,549980,0.0,-0.12,0.03,90.0,307.0
1768638951.4862719,550000,0.0,-0.12,-0.11,90.0,307.0
1768638951.5133522,550020,0.0,-0.12,-0.08,90.0,307.0
1768638951.5234876,550040,0.0,-0.12,-0.01,90.0,307.0
1768638951.5456822,550060,0.0,-0.12,-0.01,90.0,307.0
1768638951.5552394,550080,0.0,-0.12,0.06,90.0,307.0
1768638951.5954711,550100,0.0,-0.12,0.1,90.0,307.0
1768638951.6097167,550120,0.0,-0.12,-0.08,90.0,307.0
1768638951.619883,550140,0.0,-0.12,-0.08,90.0,307.0
1768638951.642105,550160,0.0,-0.12,-0.01,90.0,307.0
1768638951.651577,550180,0.0,-0.12,-0.06,90.0,307.0
1768638951.684029,550200,0.0,-0.12,-0.01,90.0,307.0
1768638951.7056875,550220,0.0,-0.12,-0.01,91.0,309.0
1768638951.7157764,550240,0.0,-0.12,-0.06,90.0,307.0
1768638951.737776,550260,0.0,-0.12,-0.01,91.0,309.0
1768638951.7703826,550280,0.0,-0.12,-0.05,90.0,307.0
1768638951.780347,550300,0.0,-0.12,-0.01,90.0,307.0
1768638951.802293,550320,0.0,-0.12,-0.01,90.0,307.0
1768638951.8122191,550340,0.0,-0.12,-0.01,90.0,307.0
1768638951.8444912,550360,0.0,-0.12,-0.08,90.0,307.0
1768638951.8665018,550380,0.0,-0.12,-0.01,90.0,307.0
1768638951.8764684,550400,0.0,-0.13,-0.08,90.0,307.0
