Time_PC,Time_Dev,Target,Yaw,Rate,Servo_Angle,Servo_PWM
1768639793.2240233,303000,0.0,133.91,-0.01,65.0,250.0
1768639793.243931,303020,0.0,133.91,-0.01,65.0,250.0
1768639793.2588353,303040,0.0,133.91,0.13,65.0,250.0
1768639793.283904,303060,0.0,133.91,-0.03,65.0,250.0
1768639793.3043516,303080,0.0,133.91,-0.08,65.0,250.0
1768639793.3216941,303100,0.0,133.91,0.02,65.0,250.0
1768639793.334221,303120,0.0,133.91,0.06,65.0,250.0
1768639793.366384,303140,0.0,133.91,-0.01,65.0,250.0
1768639793.3835526,303160,0.0,133.91,-0.01,65.0,250.0
1768639793.3972275,303180,0.0,133.91,0.06,65.0,250.0
1768639793.4123366,303200,0.0,133.91,-0.15,65.0,250.0
1768639793.4497035,303220,0.0,133.91,-0.01,65.0,250.0
1768639793.4686685,303240,0.0,133.91,-0.04,65.0,250.0
1768639793.478976,303260,0.0,133.91,-0.01,65.0,250.0
1768639793.494045,303280,0.0,133.91,-0.06,65.0,250.0
1768639793.523915,303300,0.0,133.91,0.13,65.0,250.0
1768639793.5442297,303320,0.0,133.91,-0.08,65.0,250.0
1768639793.559524,303340,0.0,133.91,-0.08,65.0,250.0
1768639793.580609,303360,0.0,133.91,-0.12,65.0,250.0
1768639793.6060932,303380,0.0,133.91,0.09,65.0,250.0
1768639793.621345,303400,0.0,133.91,0.06,65.0,250.0
1768639793.642956,303420,0.0,133.91,-0.08,65.0,250.0
1768639793.6567347,303440,0.0,133.91,-0.12,65.0,250.0
1768639793.6927867,303460,0.0,133.91,-0.01,65.0,250.0
1768639793.7092538,303480,0.0,133.91,-0.08,65.0,250.0
1768639793.7186534,303500,0.0,133.91,-0.05,65.0,250.0
1768639793.7336159,303520,0.0,133.91,-0.01,65.0,250.0
1768639793.7685468,303540,0.0,133.91,-0.08,65.0,250.0
1768639793.783803,303560,0.0,133.91,-0.08,65.0,250.0
1768639793.8044975,303580,0.0,133.91,-0.01,65.0,250.0
1768639793.8144965,303600,0.0,133.91,0.04,65.0,250.0
1768639793.8446448,303620,0.0,133.91,-0.08,65.0,250.0
1768639793.8652408,303640,0.0,133.91,-0.01,65.0,250.0
1768639793.8803568,303660,0.0,133.91,-0.03,65.0,250.0
1768639793.902925,303680,0.0,133.91,-0.11,65.0,250.0
1768639793.9267864,303700,0.0,133.91,-0.01,65.0,250.0
1768639793.9421935,303720,0.0,133.91,0.06,65.0,250.0
1768639793.9653344,303740,0.0,133.91,-0.01,65.0,250.0
1768639793.9725132,303760,0.0,133.91,-0.01,65.0,250.0
1768639794.007885,303780,0.0,133.91,-0.15,65.0,250.0
1768639794.0289145,303800,0.0,133.91,0.06,65.0,250.0
1768639794.039556,303820,0.0,133.91,0.01,65.0,250.0
1768639794.0537043,303840,0.0,133.91,-0.08,65.0,250.0
1768639794.0903828,303860,0.0,133.91,-0.01,65.0,250.0
1768639794.1044018,303880,0.0,133.91,-0.01,65.0,250.0
1768639794.1199608,303900,0.0,133.91,-0.08,65.0,250.0
1768639794.1415546,303920,0.0,133.91,-0.08,65.0,250.0
1768639794.166246,303940,0.0,133.9,-0.08,65.0,250.0
1768639794.1820483,303960,0.0,133.9,0.13,65.0,250.0
1768639794.1974876,303980,0.0,133.91,-0.01,65.0,250.0
1768639794.2170916,304000,0.0,133.9,-0.08,65.0,250.0
1768639794.2531605,304020,0.0,133.91,0.06,65.0,250.0
1768639794.2632396,304040,0.0,133.9,-0.03,65.0,250.0
1768639794.278524,304060,0.0,133.91,-0.01,65.0,250.0
1768639794.2936838,304080,0.0,133.9,-0.01,65.0,250.0
1768639794.329037,304100,0.0,133.91,-0.01,65.0,250.0
1768639794.3444548,304120,0.0,133.91,-0.01,65.0,250.0
1768639794.365382,304140,0.0,133.91,-0.04,65.0,250.0
1768639794.3753722,304160,0.0,133.9,0.06,65.0,250.0
1768639794.4215794,304180,0.0,133.9,0.1,65.0,250.0
1768639794.4274187,304200,0.0,133.9,-0.08,65.0,250.0
1768639794.4434838,304220,0.0,133.9,0.03,65.0,250.0
1768639794.46558,304240,0.0,133.9,0.03,65.0,250.0
1768639794.491201,304260,0.0,133.9,-0.01,65.0,250.0
1768639794.5087464,304280,0.0,133.91,-0.08,65.0,250.0
1768639794.519808,304300,0.0,133.91,0.06,65.0,250.0
1768639794.533382,304320,0.0,133.91,0.06,65.0,250.0
1768639794.5693147,304340,0.0,133.91,-0.08,65.0,250.0
1768639794.589099,304360,0.0,133.91,0.06,65.0,250.0
1768639794.5994687,304380,0.0,133.91,-0.01,65.0,250.0
1768639794.6141026,304400,0.0,133.91,-0.08,65.0,250.0
1768639794.6495812,304420,0.0,133.9,0.06,65.0,250.0
1768639794.6650083,304440,0.0,133.91,-0.05,65.0,250.0
1768639794.6800222,304460,0.0,133.9,-0.01,65.0,250.0
1768639794.702065,304480,0.0,133.91,0.06,65.0,250.0
1768639794.7268004,304500,0.0,133.91,0.03,65.0,250.0
1768639794.7491639,304520,0.0,133.91,0.06,65.0,250.0
1768639794.7574286,304540,0.0,133.91,-0.01,65.0,250.0
1768639794.7772906,304560,0.0,133.9,-0.04,65.0,250.0
1768639794.813902,304580,0.0,133.9,-0.01,65.0,250.0
1768639794.8240144,304600,0.0,133.91,0.06,65.0,250.0
1768639794.8391278,304620,0.0,133.91,0.06,65.0,250.0
1768639794.8580756,304640,0.0,133.91,-0.08,65.0,250.0
1768639794.8896468,304660,0.0,133.91,-0.08,65.0,250.0
1768639794.904948,304680,0.0,133.91,0.06,65.0,250.0
1768639794.9259374,304700,0.0,133.91,0.04,65.0,250.0
1768639794.9357932,304720,0.0,133.91,-0.08,65.0,250.0
1768639794.9661207,304740,0.0,133.91,-0.01,65.0,250.0
1768639794.9854312,304760,0.0,133.91,0.06,65.0,250.0
1768639795.0018966,304780,0.0,133.91,0.13,65.0,250.0
1768639795.0213726,304800,0.0,133.91,0.02,65.0,250.0
1768639795.0466723,304820,0.0,133.91,-0.01,65.0,250.0
1768639795.0624285,304840,0.0,133.91,0.06,65.0,250.0
1768639795.0935404,304860,0.0,133.91,0.06,65.0,250.0
1768639795.0971649,304880,0.0,133.91,-0.01,65.0,250.0
1768639795.1341681,304900,0.0,133.91,0.06,65.0,250.0
1768639795.1444,304920,0.0,133.91,-0.01,65.0,250.0
1768639795.1595962,304940,0.0,133.91,-0.01,65.0,250.0
1768639795.174252,304960,0.0,133.92,0.02,65.0,250.0
1768639795.2098277,304980,0.0,133.92,-0.11,65.0,250.0
1768639795.2249775,305000,0.0,133.91,-0.01,65.0,250.0
1768639795.2462485,305020,0.0,133.91,0.03,65.0,250.0
1768639795.2560792,305040,0.0,133.91,-0.08,65.0,250.0
1768639795.2863657,305060,0.0,133.91,-0.08,65.0,250.0
1768639795.3114614,305080,0.0,133.91,-0.01,65.0,250.0
1768639795.322039,305100,0.0,133.91,-0.08,65.0,250.0
1768639795.3374186,305120,0.0,133.91,-0.01,65.0,250.0
1768639795.3682933,305140,0.0,133.91,0.06,65.0,250.0
1768639795.383583,305160,0.0,133.91,-0.01,65.0,250.0
1768639795.3987737,305180,0.0,133.91,-0.01,65.0,250.0
1768639795.4136248,305200,0.0,133.91,-0.11,65.0,250.0
1768639795.4491098,305220,0.0,133.91,-0.05,65.0,250.0
1768639795.4705715,305240,0.0,133.91,-0.01,65.0,250.0
1768639795.4805214,305260,0.0,133.91,-0.01,65.0,250.0
1768639795.495438,305280,0.0,133.91,-0.01,65.0,250.0
1768639795.5258472,305300,0.0,133.91,-0.08,65.0,250.0
1768639795.5459492,305320,0.0,133.91,-0.08,65.0,250.0
1768639795.5612795,305340,0.0,133.91,0.06,65.0,250.0
1768639795.582165,305360,0.0,133.91,0.04,65.0,250.0
1768639795.6074162,305380,0.0,133.91,-0.08,65.0,250.0
1768639795.6246066,305400,0.0,133.9,0.06,65.0,250.0
1768639795.6381857,305420,0.0,133.9,-0.01,65.0,250.0
1768639795.657951,305440,0.0,133.9,0.06,65.0,250.0
1768639795.6945088,305460,0.0,133.91,0.1,65.0,250.0
1768639795.7045276,305480,0.0,133.91,-0.01,65.0,250.0
1768639795.7373765,305500,0.0,133.91,0.03,65.0,250.0
1768639795.7378998,305520,0.0,133.9,-0.01,65.0,250.0
1768639795.770301,305540,0.0,133.91,0.06,65.0,250.0
