Time_PC,Time_Dev,Target,Yaw,Rate,Servo_Angle,Servo_PWM
1768640185.6893847,0,0.0,-0.01,-0.03,90.0,307.0
1768640185.6899223,20,0.0,-0.01,-0.08,90.0,307.0
1768640185.6987085,40,0.0,-0.01,-0.01,90.0,307.0
1768640185.7087584,60,0.0,-0.01,0.06,90.0,307.0
1768640185.731666,80,0.0,-0.01,-0.01,91.0,309.0
1768640185.7425833,100,0.0,-0.01,-0.01,90.0,307.0
1768640185.7681832,120,0.0,-0.01,-0.04,90.0,307.0
1768640185.785618,140,0.0,-0.01,0.02,90.0,307.0
1768640185.799245,160,0.0,-0.01,-0.01,90.0,307.0
1768640185.8102224,180,0.0,-0.01,-0.05,90.0,307.0
1768640185.838867,200,0.0,-0.01,-0.01,90.0,307.0
1768640185.8605793,220,0.0,-0.01,-0.01,90.0,307.0
1768640185.8700972,240,0.0,-0.01,0.03,90.0,307.0
1768640185.9025505,260,0.0,-0.01,0.06,90.0,307.0
1768640185.9294121,280,0.0,-0.01,-0.08,90.0,307.0
1768640185.9455864,300,0.0,-0.01,0.03,90.0,307.0
1768640185.9600434,320,0.0,-0.01,0.06,90.0,307.0
1768640185.967902,340,0.0,-0.01,-0.01,90.0,307.0
1768640186.004426,360,0.0,-0.01,-0.01,90.0,307.0
1768640186.0220354,380,0.0,-0.01,-0.03,90.0,307.0
1768640186.030126,400,0.0,-0.01,-0.01,90.0,307.0
1768640186.053006,420,0.0,-0.01,-0.05,90.0,307.0
1768640186.0626569,440,0.0,-0.01,-0.08,90.0,307.0
1768640186.103111,460,0.0,-0.01,-0.08,90.0,307.0
1768640186.1318858,480,0.0,-0.01,-0.01,91.0,309.0
1768640186.1355264,500,0.0,-0.01,-0.08,90.0,307.0
1768640186.159984,520,0.0,-0.02,-0.08,90.0,307.0
1768640186.186826,540,0.0,-0.02,0.06,90.0,307.0
1768640186.194356,560,0.0,-0.02,0.06,91.0,309.0
1768640186.212784,580,0.0,-0.02,-0.01,90.0,307.0
