Time_PC,Time_Dev,Target,Yaw,Rate,Servo_Angle,Servo_PWM
1768639670.0169795,177420,0.0,25.67,0.13,65.0,250.0
1768639670.0320966,177440,0.0,25.68,-0.04,65.0,250.0
1768639670.0521374,177460,0.0,25.67,-0.08,65.0,250.0
1768639670.0678842,177480,0.0,25.68,0.13,65.0,250.0
1768639670.08255,177500,0.0,25.68,-0.04,65.0,250.0
1768639670.1042745,177520,0.0,25.68,-0.01,65.0,250.0
1768639670.1143854,177540,0.0,25.68,0.02,65.0,250.0
1768639670.1295598,177560,0.0,25.67,-0.01,65.0,250.0
1768639670.1447432,177580,0.0,25.67,0.06,65.0,250.0
1768639670.1599019,177600,0.0,25.67,0.1,65.0,250.0
1768639670.1801426,177620,0.0,25.67,-0.06,65.0,250.0
1768639670.19627,177640,0.0,25.68,-0.15,65.0,250.0
1768639670.226906,177660,0.0,25.67,-0.01,65.0,250.0
1768639670.242143,177680,0.0,25.67,-0.08,65.0,250.0
1768639670.257258,177700,0.0,25.68,0.02,65.0,250.0
1768639670.2724967,177720,0.0,25.68,0.06,65.0,250.0
1768639670.2877924,177740,0.0,25.68,0.06,65.0,250.0
1768639670.308222,177760,0.0,25.68,-0.01,65.0,250.0
1768639670.328425,177780,0.0,25.68,-0.08,65.0,250.0
1768639670.3385756,177800,0.0,25.68,-0.01,65.0,250.0
1768639670.3541675,177820,0.0,25.68,-0.01,65.0,250.0
1768639670.3692322,177840,0.0,25.68,0.11,65.0,250.0
1768639670.3919723,177860,0.0,25.68,0.13,65.0,250.0
1768639670.4048512,177880,0.0,25.68,-0.08,65.0,250.0
1768639670.4197392,177900,0.0,25.68,-0.01,65.0,250.0
1768639670.441601,177920,0.0,25.68,-0.01,65.0,250.0
1768639670.4654012,177940,0.0,25.68,-0.01,65.0,250.0
1768639670.4808123,177960,0.0,25.68,0.06,65.0,250.0
1768639670.495816,177980,0.0,25.68,-0.08,65.0,250.0
1768639670.5164373,178000,0.0,25.68,-0.01,65.0,250.0
1768639670.5337286,178020,0.0,25.68,-0.08,65.0,250.0
1768639670.552953,178040,0.0,25.68,-0.05,65.0,250.0
1768639670.562745,178060,0.0,25.68,-0.08,65.0,250.0
1768639670.5779772,178080,0.0,25.68,-0.01,65.0,250.0
1768639670.5982826,178100,0.0,25.68,0.06,65.0,250.0
1768639670.6085312,178120,0.0,25.68,-0.01,65.0,250.0
1768639670.6283011,178140,0.0,25.69,0.06,65.0,250.0
1768639670.645124,178160,0.0,25.68,-0.04,65.0,250.0
1768639670.6659229,178180,0.0,25.69,0.03,65.0,250.0
1768639670.6898496,178200,0.0,25.69,-0.01,65.0,250.0
1768639670.7055922,178220,0.0,25.69,0.03,65.0,250.0
1768639670.72131,178240,0.0,25.68,-0.08,65.0,250.0
1768639670.7411852,178260,0.0,25.69,0.02,65.0,250.0
1768639670.7555733,178280,0.0,25.69,-0.08,65.0,250.0
1768639670.7831883,178300,0.0,25.69,-0.08,65.0,250.0
1768639670.7869196,178320,0.0,25.69,-0.08,65.0,250.0
1768639670.8023589,178340,0.0,25.68,-0.11,65.0,250.0
1768639670.8177862,178360,0.0,25.68,-0.08,65.0,250.0
1768639670.833241,178380,0.0,25.68,-0.01,65.0,250.0
1768639670.8537288,178400,0.0,25.68,-0.01,65.0,250.0
1768639670.8695848,178420,0.0,25.68,-0.04,65.0,250.0
1768639670.8992445,178440,0.0,25.68,0.04,65.0,250.0
1768639670.9141037,178460,0.0,25.69,-0.08,65.0,250.0
1768639670.9294314,178480,0.0,25.68,-0.15,65.0,250.0
1768639670.9442341,178500,0.0,25.68,0.01,65.0,250.0
1768639670.964744,178520,0.0,25.69,0.06,65.0,250.0
1768639670.9798236,178540,0.0,25.69,-0.01,65.0,250.0
1768639671.0012898,178560,0.0,25.69,-0.01,65.0,250.0
1768639671.0111494,178580,0.0,25.69,-0.08,65.0,250.0
1768639671.0277052,178600,0.0,25.69,-0.01,65.0,250.0
1768639671.0416782,178620,0.0,25.69,-0.01,65.0,250.0
1768639671.0571089,178640,0.0,25.69,-0.01,65.0,250.0
1768639671.0773532,178660,0.0,25.69,-0.06,65.0,250.0
1768639671.0928125,178680,0.0,25.69,0.03,65.0,250.0
1768639671.1236672,178700,0.0,25.69,-0.08,65.0,250.0
1768639671.1435668,178720,0.0,25.69,-0.01,65.0,250.0
1768639671.1609414,178740,0.0,25.69,-0.08,65.0,250.0
1768639671.1760337,178760,0.0,25.69,0.03,65.0,250.0
1768639671.1917045,178780,0.0,25.69,0.06,65.0,250.0
1768639671.2055705,178800,0.0,25.69,0.13,65.0,250.0
1768639671.2285593,178820,0.0,25.69,-0.04,65.0,250.0
1768639671.2394054,178840,0.0,25.69,-0.08,65.0,250.0
1768639671.2505474,178860,0.0,25.69,-0.08,65.0,250.0
1768639671.2654428,178880,0.0,25.69,0.04,65.0,250.0
1768639671.2808545,178900,0.0,25.69,-0.01,65.0,250.0
1768639671.3009548,178920,0.0,25.69,-0.08,65.0,250.0
1768639671.3172684,178940,0.0,25.69,-0.06,65.0,250.0
1768639671.3471916,178960,0.0,25.69,-0.05,65.0,250.0
