Time_PC,Time_Dev,Target,Yaw,Rate,Servo_Angle,Servo_PWM
1768804575.9577339,55320,0.0,2.23,0.27,81.0,287.0
1768804575.9937985,55340,0.0,2.23,-0.33,81.0,287.0
1768804576.010471,55360,0.0,2.23,-0.22,83.0,291.0
1768804576.0209532,55380,0.0,2.23,-0.22,83.0,291.0
1768804576.0274024,55400,0.0,2.22,-0.11,83.0,291.0
1768804576.0596442,55420,0.0,2.22,-0.22,83.0,291.0
1768804576.06967,55440,0.0,2.22,-0.11,82.0,289.0
1768804576.0929716,55460,0.0,2.22,0.14,82.0,289.0
1768804576.1043365,55480,0.0,2.22,-0.05,82.0,289.0
1768804576.1337118,55500,0.0,2.21,-0.15,83.0,291.0
1768804576.1564438,55520,0.0,2.21,0.14,82.0,289.0
1768804576.1665618,55540,0.0,2.21,-0.11,82.0,289.0
1768804576.1867404,55560,0.0,2.21,-0.15,82.0,289.0
1768804576.1994236,55580,0.0,2.21,0.02,83.0,291.0
1768804576.24768,55600,0.0,2.21,-0.08,82.0,289.0
1768804576.2582827,55620,0.0,2.21,-0.05,82.0,289.0
1768804576.2665985,55640,0.0,2.2,-0.2,83.0,291.0
1768804576.2962956,55660,0.0,2.2,-0.08,82.0,289.0
1768804576.3173504,55680,0.0,2.2,-0.01,82.0,289.0
1768804576.3270974,55700,0.0,2.2,-0.08,83.0,291.0
1768804576.3504655,55720,0.0,2.19,-0.29,83.0,291.0
1768804576.379979,55740,0.0,2.19,-0.23,83.0,291.0
1768804576.390151,55760,0.0,2.18,-0.36,84.0,293.0
1768804576.4179518,55780,0.0,2.17,-0.47,84.0,293.0
1768804576.4252377,55800,0.0,2.16,-0.32,83.0,291.0
1768804576.4585588,55820,0.0,2.16,-0.3,83.0,291.0
1768804576.4775705,55840,0.0,2.15,-0.72,84.0,293.0
1768804576.4964647,55860,0.0,2.13,-0.86,86.0,298.0
1768804576.5103328,55880,0.0,2.11,-0.47,85.0,296.0
1768804576.5408876,55900,0.0,2.11,-0.29,83.0,291.0
1768804576.5509357,55920,0.0,2.1,-0.61,83.0,291.0
1768804576.5773828,55940,0.0,2.08,-0.82,86.0,298.0
1768804576.5838933,55960,0.0,2.07,-0.53,86.0,298.0
1768804576.6196342,55980,0.0,2.06,-0.36,84.0,293.0
1768804576.638389,56000,0.0,2.05,-0.43,84.0,293.0
1768804576.6494677,56020,0.0,2.04,-0.39,84.0,293.0
1768804576.6686742,56040,0.0,2.03,-0.3,84.0,293.0
1768804576.7011983,56060,0.0,2.03,-0.08,83.0,291.0
1768804576.711208,56080,0.0,2.03,-0.09,83.0,291.0
1768804576.7455883,56100,0.0,2.03,-0.12,82.0,289.0
1768804576.7529106,56120,0.0,2.03,-0.02,83.0,291.0
1768804576.7837796,56140,0.0,2.02,0.05,84.0,293.0
1768804576.791846,56160,0.0,2.02,0.16,83.0,291.0
1768804576.8074448,56180,0.0,2.03,0.32,80.0,284.0
1768804576.8283575,56200,0.0,2.03,-0.01,81.0,287.0
1768804576.861439,56220,0.0,2.03,-0.5,84.0,293.0
1768804576.871397,56240,0.0,2.02,-0.34,83.0,291.0
1768804576.8988826,56260,0.0,2.02,0.17,81.0,287.0
1768804576.9074328,56280,0.0,2.02,-0.15,82.0,289.0
1768804576.9320326,56300,0.0,2.02,-0.4,84.0,293.0
1768804576.9579682,56320,0.0,2.01,-0.29,84.0,293.0
1768804576.9682634,56340,0.0,2.01,-0.15,83.0,291.0
1768804576.990832,56360,0.0,2.0,-0.57,83.0,291.0
1768804576.9994478,56380,0.0,1.98,-1.06,87.0,300.0
1768804577.0320308,56400,0.0,1.96,-0.99,87.0,300.0
1768804577.0541785,56420,0.0,1.95,-0.43,85.0,296.0
1768804577.0643167,56440,0.0,1.94,-0.36,85.0,296.0
1768804577.0922217,56460,0.0,1.92,-0.85,86.0,298.0
1768804577.1204462,56480,0.0,1.9,-1.16,88.0,302.0
1768804577.129539,56500,0.0,1.89,-0.77,86.0,298.0
1768804577.1525552,56520,0.0,1.87,-0.67,84.0,293.0
1768804577.1602132,56540,0.0,1.85,-1.31,87.0,300.0
1768804577.1926584,56560,0.0,1.82,-1.69,90.0,307.0
1768804577.2141926,56580,0.0,1.79,-1.02,89.0,305.0
1768804577.224155,56600,0.0,1.78,-0.54,87.0,300.0
1768804577.2456331,56620,0.0,1.76,-1.13,89.0,305.0
1768804577.2783995,56640,0.0,1.73,-1.8,90.0,307.0
1768804577.2943738,56660,0.0,1.69,-1.51,90.0,307.0
1768804577.3106735,56680,0.0,1.67,-1.06,87.0,300.0
1768804577.3257935,56700,0.0,1.65,-1.31,88.0,302.0
