Time_PC,Time_Dev,Target,Yaw,Rate,Servo_Angle,Servo_PWM
1768639985.8568573,1660,0.0,-0.04,-0.01,90.0,307.0
1768639985.87804,1680,0.0,-0.04,-0.01,90.0,307.0
1768639985.8990748,1700,0.0,-0.05,-0.01,91.0,309.0
1768639985.9200215,1720,0.0,-0.05,-0.08,90.0,307.0
1768639985.9352734,1740,0.0,-0.05,0.08,90.0,307.0
1768639985.9521503,1760,0.0,-0.05,-0.12,90.0,307.0
1768639985.991379,1780,0.0,-0.05,-0.04,90.0,307.0
1768639986.0008616,1800,0.0,-0.05,-0.01,90.0,307.0
1768639986.0219917,1820,0.0,-0.05,0.06,90.0,307.0
1768639986.034258,1840,0.0,-0.05,-0.12,90.0,307.0
1768639986.0616398,1860,0.0,-0.05,0.03,90.0,307.0
1768639986.064246,1880,0.0,-0.05,0.06,90.0,307.0
1768639986.0982668,1900,0.0,-0.05,-0.08,90.0,307.0
1768639986.112652,1920,0.0,-0.05,-0.01,90.0,307.0
1768639986.146815,1940,0.0,-0.05,-0.01,90.0,307.0
1768639986.1661747,1960,0.0,-0.05,0.06,90.0,307.0
1768639986.1822145,1980,0.0,-0.05,-0.01,91.0,309.0
1768639986.1866255,2000,0.0,-0.05,-0.01,90.0,307.0
1768639986.2271795,2020,0.0,-0.05,-0.01,90.0,307.0
1768639986.2429845,2040,0.0,-0.05,-0.08,90.0,307.0
1768639986.2585518,2060,0.0,-0.05,-0.22,90.0,307.0
1768639986.282056,2080,0.0,-0.05,0.06,90.0,307.0
1768639986.3001826,2100,0.0,-0.05,-0.01,90.0,307.0
1768639986.322363,2120,0.0,-0.05,0.06,90.0,307.0
1768639986.333928,2140,0.0,-0.05,-0.08,90.0,307.0
1768639986.35323,2160,0.0,-0.05,-0.01,90.0,307.0
1768639986.385377,2180,0.0,-0.06,-0.06,91.0,309.0
1768639986.3953102,2200,0.0,-0.06,-0.01,90.0,307.0
1768639986.41811,2220,0.0,-0.06,-0.01,90.0,307.0
1768639986.4269557,2240,0.0,-0.06,-0.01,90.0,307.0
1768639986.4602003,2260,0.0,-0.06,-0.01,90.0,307.0
1768639986.4824433,2280,0.0,-0.06,-0.08,90.0,307.0
1768639986.492488,2300,0.0,-0.06,-0.01,90.0,307.0
1768639986.5199594,2320,0.0,-0.06,-0.01,90.0,307.0
1768639986.5466669,2340,0.0,-0.06,-0.01,90.0,307.0
1768639986.567765,2360,0.0,-0.06,0.03,90.0,307.0
1768639986.5934248,2380,0.0,-0.06,-0.08,91.0,309.0
1768639986.6027348,2400,0.0,-0.06,0.04,90.0,307.0
1768639986.610212,2420,0.0,-0.06,-0.08,90.0,307.0
1768639986.6438813,2440,0.0,-0.06,-0.01,90.0,307.0
1768639986.6526213,2460,0.0,-0.06,-0.08,90.0,307.0
1768639986.6748514,2480,0.0,-0.06,-0.04,90.0,307.0
1768639986.6837864,2500,0.0,-0.06,-0.01,90.0,307.0
1768639986.7233703,2520,0.0,-0.06,-0.01,90.0,307.0
1768639986.738639,2540,0.0,-0.06,0.13,90.0,307.0
1768639986.7490866,2560,0.0,-0.06,-0.08,90.0,307.0
1768639986.7705314,2580,0.0,-0.06,-0.01,90.0,307.0
1768639986.8052816,2600,0.0,-0.06,-0.08,90.0,307.0
1768639986.813461,2620,0.0,-0.06,-0.08,90.0,307.0
1768639986.8359141,2640,0.0,-0.06,-0.01,90.0,307.0
1768639986.8462393,2660,0.0,-0.07,-0.01,90.0,307.0
1768639986.8687267,2680,0.0,-0.07,0.09,90.0,307.0
1768639986.8990877,2700,0.0,-0.07,-0.04,90.0,307.0
1768639986.9091613,2720,0.0,-0.06,0.06,90.0,307.0
1768639986.9301732,2740,0.0,-0.07,-0.08,90.0,307.0
1768639986.9736958,2760,0.0,-0.07,-0.01,90.0,307.0
1768639986.9756598,2780,0.0,-0.07,0.01,90.0,307.0
1768639986.996029,2800,0.0,-0.07,0.03,90.0,307.0
1768639987.0120244,2820,0.0,-0.07,-0.08,90.0,307.0
1768639987.0402436,2840,0.0,-0.07,-0.01,90.0,307.0
1768639987.0611444,2860,0.0,-0.07,0.02,90.0,307.0
1768639987.0763085,2880,0.0,-0.07,-0.08,90.0,307.0
1768639987.0846472,2900,0.0,-0.07,-0.01,90.0,307.0
1768639987.1173162,2920,0.0,-0.07,-0.08,90.0,307.0
1768639987.1399314,2940,0.0,-0.07,-0.08,90.0,307.0
1768639987.1669693,2960,0.0,-0.07,-0.05,90.0,307.0
1768639987.1710823,2980,0.0,-0.07,-0.08,90.0,307.0
1768639987.1905155,3000,0.0,-0.07,0.13,91.0,309.0
1768639987.2146463,3020,0.0,-0.07,-0.01,90.0,307.0
1768639987.236179,3040,0.0,-0.07,-0.08,90.0,307.0
1768639987.2464888,3060,0.0,-0.07,-0.06,91.0,309.0
1768639987.2748537,3080,0.0,-0.07,0.1,90.0,307.0
1768639987.300262,3100,0.0,-0.07,-0.01,90.0,307.0
1768639987.310348,3120,0.0,-0.07,-0.01,90.0,307.0
1768639987.3310983,3140,0.0,-0.07,0.02,90.0,307.0
1768639987.3644907,3160,0.0,-0.07,-0.06,90.0,307.0
1768639987.3834167,3180,0.0,-0.07,0.06,90.0,307.0
1768639987.4137044,3200,0.0,-0.07,-0.01,90.0,307.0
1768639987.4216187,3220,0.0,-0.07,0.06,90.0,307.0
1768639987.4526548,3240,0.0,-0.07,-0.04,90.0,307.0
1768639987.4777,3260,0.0,-0.08,-0.01,91.0,309.0
1768639987.4843862,3280,0.0,-0.08,-0.08,90.0,307.0
1768639987.498188,3300,0.0,-0.07,-0.04,89.0,305.0
1768639987.5245237,3320,0.0,-0.08,-0.01,90.0,307.0
1768639987.5412304,3340,0.0,-0.08,-0.01,90.0,307.0
1768639987.551235,3360,0.0,-0.08,-0.01,90.0,307.0
1768639987.5734034,3380,0.0,-0.08,-0.08,90.0,307.0
1768639987.6059725,3400,0.0,-0.08,-0.01,90.0,307.0
1768639987.6209407,3420,0.0,-0.08,-0.01,90.0,307.0
1768639987.6374428,3440,0.0,-0.08,0.08,90.0,307.0
1768639987.6649263,3460,0.0,-0.08,-0.01,90.0,307.0
1768639987.687876,3480,0.0,-0.08,-0.08,90.0,307.0
1768639987.7039273,3500,0.0,-0.08,-0.01,90.0,307.0
1768639987.7135818,3520,0.0,-0.08,-0.04,90.0,307.0
1768639987.7335048,3540,0.0,-0.08,-0.11,90.0,307.0
1768639987.765612,3560,0.0,-0.08,-0.01,90.0,307.0
1768639987.7757018,3580,0.0,-0.08,-0.01,90.0,307.0
1768639987.8102407,3600,0.0,-0.08,-0.08,90.0,307.0
1768639987.842871,3620,0.0,-0.08,0.06,90.0,307.0
1768639987.8804834,3640,0.0,-0.08,-0.08,90.0,307.0
1768639987.9132152,3660,0.0,-0.08,-0.08,90.0,307.0
1768639987.929137,3680,0.0,-0.08,0.03,90.0,307.0
1768639987.9464693,3700,0.0,-0.09,0.02,90.0,307.0
1768639987.9514787,3720,0.0,-0.08,-0.08,90.0,307.0
1768639987.9524326,3740,0.0,-0.08,-0.08,90.0,307.0
1768639987.9581828,3760,0.0,-0.09,-0.01,90.0,307.0
1768639987.9681852,3780,0.0,-0.09,-0.01,90.0,307.0
1768639987.98911,3800,0.0,-0.09,0.06,90.0,307.0
1768639988.001788,3820,0.0,-0.08,0.04,90.0,307.0
1768639988.0513692,3840,0.0,-0.08,-0.08,90.0,307.0
1768639988.0594661,3860,0.0,-0.08,-0.11,90.0,307.0
1768639988.0877073,3880,0.0,-0.08,-0.01,90.0,307.0
1768639988.0947332,3900,0.0,-0.08,0.06,90.0,307.0
1768639988.1253245,3920,0.0,-0.08,-0.01,90.0,307.0
1768639988.1481009,3940,0.0,-0.08,-0.01,89.0,305.0
1768639988.1552684,3960,0.0,-0.08,0.03,90.0,307.0
1768639988.1827607,3980,0.0,-0.08,-0.08,90.0,307.0
1768639988.1928246,4000,0.0,-0.08,-0.01,90.0,307.0
1768639988.2150733,4020,0.0,-0.08,-0.04,90.0,307.0
1768639988.223876,4040,0.0,-0.08,-0.08,90.0,307.0
1768639988.2619693,4060,0.0,-0.08,-0.01,90.0,307.0
1768639988.295911,4080,0.0,-0.08,-0.01,89.0,305.0
1768639988.299888,4100,0.0,-0.08,-0.01,90.0,307.0
1768639988.3258898,4120,0.0,-0.08,-0.01,90.0,307.0
1768639988.3374238,4140,0.0,-0.08,-0.01,90.0,307.0
1768639988.3600397,4160,0.0,-0.08,-0.05,90.0,307.0
1768639988.3699055,4180,0.0,-0.08,-0.12,90.0,307.0
1768639988.3903284,4200,0.0,-0.08,-0.01,90.0,307.0
1768639988.4234033,4220,0.0,-0.08,-0.01,90.0,307.0
1768639988.433413,4240,0.0,-0.08,0.06,90.0,307.0
1768639988.4620466,4260,0.0,-0.08,-0.01,90.0,307.0
1768639988.4651673,4280,0.0,-0.08,-0.08,90.0,307.0
1768639988.4996195,4300,0.0,-0.08,-0.01,90.0,307.0
1768639988.5220864,4320,0.0,-0.08,0.06,90.0,307.0
1768639988.5432081,4340,0.0,-0.08,-0.15,90.0,307.0
1768639988.5535975,4360,0.0,-0.08,0.01,90.0,307.0
1768639988.5837178,4380,0.0,-0.08,-0.08,90.0,307.0
1768639988.5937912,4400,0.0,-0.08,0.06,90.0,307.0
1768639988.615869,4420,0.0,-0.08,-0.01,90.0,307.0
1768639988.6246953,4440,0.0,-0.08,-0.01,90.0,307.0
1768639988.6684256,4460,0.0,-0.08,-0.01,90.0,307.0
1768639988.682098,4480,0.0,-0.08,-0.12,90.0,307.0
1768639988.706894,4500,0.0,-0.08,-0.04,90.0,307.0
1768639988.7175276,4520,0.0,-0.08,-0.08,91.0,309.0
1768639988.7464366,4540,0.0,-0.08,0.06,90.0,307.0
1768639988.7579486,4560,0.0,-0.08,0.06,90.0,307.0
1768639988.7639854,4580,0.0,-0.08,0.04,90.0,307.0
1768639988.7787955,4600,0.0,-0.08,0.1,90.0,307.0
1768639988.8097897,4620,0.0,0.27,10.27,65.0,250.0
