time_s,target_deg,measured_deg,error_deg
0.044,0.00,-1.54,1.54
0.044,0.00,-1.54,1.54
0.441,0.00,-1.54,1.54
0.441,0.00,-1.54,1.54
4.418,0.00,-1.54,1.54
4.422,0.00,-1.55,1.55
4.424,0.00,-1.55,1.55
4.426,0.00,-1.55,1.55
4.428,0.00,-1.55,1.55
4.430,0.00,-1.55,1.55
4.432,0.00,-1.55,1.55
4.434,0.00,-1.55,1.55
4.436,0.00,-1.55,1.55
44.380,0.00,-1.55,1.55
44.400,0.00,-1.56,1.56
44.420,0.00,-1.56,1.56
44.440,0.00,-1.56,1.56
44.460,0.00,-1.56,1.56
44.480,0.00,-1.56,1.56
44.500,0.00,-1.56,1.56
44.520,0.00,-1.56,1.56
44.540,0.00,-1.57,1.57
44.560,0.00,-1.57,1.57
44.580,0.00,-1.57,1.57
44.600,0.00,-1.57,1.57
44.620,0.00,-1.57,1.57
44.660,0.00,-1.57,1.57
44.680,0.00,-1.58,1.58
44.700,0.00,-1.58,1.58
44.720,0.00,-1.58,1.58
44.740,0.00,-1.58,1.58
44.760,0.00,-1.58,1.58
44.780,0.00,-1.58,1.58
44.800,0.00,-1.58,1.58
44.820,0.00,-1.58,1.58
44.840,0.00,-1.58,1.58
44.860,0.00,-1.59,1.59
44.880,0.00,-1.59,1.59
44.900,0.00,-59.00,59.00
44.920,0.00,-1.59,1.59
44.940,0.00,-1.59,1.59
44.980,0.00,-1.59,1.59
45.000,0.00,-1.59,1.59
45.020,0.00,-1.60,1.60
45.040,0.00,-1.60,1.60
45.060,0.00,-1.60,1.60
45.080,0.00,-1.60,1.60
45.100,0.00,-1.60,1.60
45.120,0.00,-1.60,1.60
45.140,0.00,-1.61,1.61
45.160,0.00,-1.61,1.61
45.200,0.00,-1.00,1.00
45.220,0.00,-1.61,1.61
45.240,0.00,-1.61,1.61
45.260,0.00,-1.61,1.61
45.280,0.00,-1.61,1.61
45.300,0.00,-1.62,1.62
45.340,0.00,-1.62,1.62
45.380,0.00,-1.62,1.62
45.400,0.00,-1.62,1.62
45.440,0.00,-1.62,1.62
45.460,0.00,-1.62,1.62
45.540,0.00,-1.63,1.63
45.560,0.00,-1.63,1.63
45.580,0.00,-1.63,1.63
45.600,0.00,-1.63,1.63
45.640,0.00,-1.63,1.63
45.660,0.00,-63.00,63.00
45.680,0.00,-1.63,1.63
45.700,0.00,-1.63,1.63
45.720,0.00,-1.63,1.63
45.740,0.00,-1.63,1.63
45.800,0.00,-1.64,1.64
45.820,0.00,-1.64,1.64
45.840,0.00,-1.64,1.64
45.860,0.00,-1.64,1.64
45.880,0.00,-1.64,1.64
45.900,0.00,-1.64,1.64
45.920,0.00,-1.64,1.64
45.960,0.00,-1.64,1.64
45.980,0.00,-1.64,1.64
46.000,0.00,-1.64,1.64
46.040,0.00,-1.64,1.64
46.080,0.00,-1.64,1.64
46.100,0.00,-1.65,1.65
46.120,0.00,-1.65,1.65
46.140,0.00,-1.65,1.65
46.160,0.00,-1.65,1.65
46.920,0.00,-1.64,1.64
46.940,0.00,-1.64,1.64
46.960,0.00,-1.64,1.64
46.980,0.00,-1.64,1.64
47.000,0.00,-14.00,14.00
47.020,0.00,-1.64,1.64
47.040,0.00,-1.64,1.64
47.060,0.00,-1.63,1.63
47.080,0.00,-1.63,1.63
47.100,0.00,-3.00,3.00
47.140,0.00,-1.63,1.63
47.160,0.00,-1.63,1.63
47.180,0.00,-1.63,1.63
47.220,0.00,-1.62,1.62
47.260,0.00,-1.62,1.62
47.280,0.00,-1.62,1.62
47.320,0.00,-1.62,1.62
47.360,0.00,-1.61,1.61
47.400,0.00,-1.61,1.61
47.420,0.00,-1.61,1.61
47.480,0.00,-1.60,1.60
47.500,0.00,-1.60,1.60
47.520,0.00,-1.60,1.60
47.540,0.00,-1.60,1.60
47.580,0.00,-1.59,1.59
