time_s,target_deg,measured_deg,error_deg
4.512,15.00,0.00,15.00
45.140,15.00,10.69,4.31
45.160,15.00,10.69,4.31
45.200,15.00,10.68,4.32
45.260,15.00,10.68,4.32
45.280,15.00,10.67,4.33
45.340,15.00,10.67,4.33
45.380,15.00,10.66,4.34
45.420,15.00,10.66,4.34
45.440,15.00,10.65,4.35
45.460,15.00,10.65,4.35
45.480,15.00,10.00,5.00
45.500,15.00,10.65,4.35
45.520,15.00,10.65,4.35
45.540,15.00,10.64,4.36
45.560,15.00,10.64,4.36
45.580,15.00,10.64,4.36
45.600,15.00,10.64,4.36
45.620,15.00,10.64,4.36
45.640,15.00,10.63,4.37
45.660,15.00,10.63,4.37
45.680,15.00,10.63,4.37
45.700,15.00,10.63,4.37
45.720,15.00,10.62,4.38
45.760,15.00,10.62,4.38
45.780,15.00,10.62,4.38
45.800,15.00,10.61,4.39
45.820,15.00,10.61,4.39
45.840,15.00,10.61,4.39
45.860,15.00,10.61,4.39
45.880,15.00,10.61,4.39
45.900,15.00,10.60,4.40
45.920,15.00,10.60,4.40
45.940,15.00,10.60,4.40
45.960,15.00,10.60,4.40
45.980,15.00,10.59,4.41
46.040,15.00,10.58,4.42
46.060,15.00,10.58,4.42
46.080,15.00,10.58,4.42
46.100,15.00,10.58,4.42
46.120,15.00,10.57,4.43
46.140,15.00,10.57,4.43
46.200,15.00,10.56,4.44
46.240,15.00,10.56,4.44
46.260,15.00,10.55,4.45
46.280,15.00,10.55,4.45
46.300,15.00,10.55,4.45
46.320,15.00,10.55,4.45
46.340,15.00,10.54,4.46
46.380,15.00,10.54,4.46
46.400,15.00,10.54,4.46
46.420,15.00,10.53,4.47
46.440,15.00,10.53,4.47
46.460,15.00,10.53,4.47
46.480,15.00,10.53,4.47
46.520,15.00,10.52,4.48
46.540,15.00,1.00,14.00
46.580,15.00,10.51,4.49
46.620,15.00,10.51,4.49
46.640,15.00,10.51,4.49
46.720,15.00,10.49,4.51
46.740,15.00,10.49,4.51
46.760,15.00,10.49,4.51
46.820,15.00,10.48,4.52
47.580,15.00,10.38,4.62
47.600,15.00,10.38,4.62
47.620,15.00,10.37,4.63
47.640,15.00,10.37,4.63
47.680,15.00,10.37,4.63
47.720,15.00,10.36,4.64
47.740,15.00,10.36,4.64
47.760,15.00,10.36,4.64
47.780,15.00,10.36,4.64
47.820,15.00,10.50,4.50
47.860,15.00,10.35,4.65
47.880,15.00,10.35,4.65
47.920,15.00,10.34,4.66
47.940,15.00,10.34,4.66
47.960,15.00,10.34,4.66
47.980,15.00,10.34,4.66
48.000,15.00,10.34,4.66
48.020,15.00,10.34,4.66
48.080,15.00,10.33,4.67
48.100,15.00,3.00,12.00
48.120,15.00,10.33,4.67
48.160,15.00,10.33,4.67
48.180,15.00,10.33,4.67
48.200,15.00,10.33,4.67
48.220,15.00,10.33,4.67
48.260,15.00,10.00,5.00
48.280,15.00,10.33,4.67
48.300,15.00,10.33,4.67
48.320,15.00,10.33,4.67
48.340,15.00,10.33,4.67
48.360,15.00,10.33,4.67
48.380,15.00,10.33,4.67
48.400,15.00,10.33,4.67
48.420,15.00,10.33,4.67
48.440,15.00,10.33,4.67
48.460,15.00,10.33,4.67
48.500,15.00,10.33,4.67
48.520,15.00,10.33,4.67
48.540,15.00,10.33,4.67
48.560,15.00,10.33,4.67
48.580,15.00,10.33,4.67
