time_s,target_deg,measured_deg,error_deg
0.000,20.80,27.40,-6.60
0.020,20.60,27.33,-6.73
0.040,20.40,27.26,-6.86
0.060,20.20,27.19,-6.99
0.080,20.00,27.11,-7.11
0.100,19.80,27.04,-7.24
0.160,19.20,26.83,-7.63
0.180,19.00,26.75,-7.75
0.200,18.80,26.68,-7.88
0.240,18.40,26.53,-8.13
0.260,18.20,26.45,-8.25
0.280,18.00,26.37,-8.37
0.300,17.80,26.30,-8.50
0.320,17.60,26.22,-8.62
0.340,17.40,26.14,-8.74
0.360,17.20,26.06,-8.86
0.380,17.00,25.98,-8.98
0.400,16.80,25.89,-9.09
0.460,16.20,25.60,-9.40
0.480,16.00,25.55,-9.55
0.500,15.80,25.46,-9.66
0.520,15.60,25.37,-9.77
0.560,15.20,25.19,-9.99
0.580,15.00,25.09,-10.09
0.600,14.80,25.00,-10.20
0.640,14.40,24.81,-10.41
0.680,14.00,24.61,-10.61
0.700,13.80,0.00,13.80
1.220,8.60,21.25,-12.65
1.320,7.60,20.48,-12.88
1.420,6.60,19.66,-13.06
1.540,5.40,18.64,-13.24
1.560,5.20,18.47,-13.27
1.580,5.00,18.29,-13.29
1.600,4.80,18.12,-13.32
1.620,4.60,17.94,-13.34
1.640,4.40,17.77,-13.37
1.660,4.20,17.59,-13.39
1.680,4.00,1.00,3.00
1.700,3.80,17.24,-13.44
1.720,3.60,17.06,-13.46
1.740,3.40,16.88,-13.48
1.760,3.20,16.70,-13.50
1.780,3.00,16.53,-13.53
1.800,2.80,16.36,-13.56
1.820,2.60,16.18,-13.58
1.840,2.40,16.01,-13.61
1.860,2.20,15.00,-12.80
1.880,2.00,15.66,-13.66
1.900,1.80,15.49,-13.69
1.920,1.60,15.31,-13.71
1.940,1.40,15.14,-13.74
1.960,1.20,14.97,-13.77
1.980,1.00,14.79,-13.79
2.000,0.80,14.62,-13.82
2.060,0.20,14.09,-13.89
2.080,0.00,13.00,-13.00
2.800,0.00,7.67,-7.67
2.840,0.00,7.37,-7.37
2.880,0.00,7.08,-7.08
2.940,0.00,6.67,-6.67
2.980,0.00,6.40,-6.40
3.040,0.00,3.00,-3.00
3.060,0.00,2.00,-2.00
3.080,0.00,5.80,-5.80
