time_s,target_deg,measured_deg,error_deg
0.000,0.00,0.67,-0.67
0.020,0.00,0.68,-0.68
0.040,0.00,0.68,-0.68
0.060,0.00,0.68,-0.68
0.080,0.00,0.69,-0.69
0.100,0.00,0.69,-0.69
0.120,0.00,0.70,-0.70
0.160,0.00,0.71,-0.71
0.180,0.00,0.71,-0.71
0.200,0.00,0.72,-0.72
0.220,0.00,0.72,-0.72
0.240,0.00,0.73,-0.73
0.260,0.00,0.73,-0.73
0.300,0.00,0.74,-0.74
0.320,0.00,0.75,-0.75
0.340,0.00,0.75,-0.75
0.380,0.00,0.76,-0.76
0.400,0.00,0.77,-0.77
0.420,0.00,0.77,-0.77
0.460,0.00,0.78,-0.78
0.480,0.00,0.79,-0.79
0.500,0.00,0.79,-0.79
0.540,0.00,0.80,-0.80
0.560,0.00,0.80,-0.80
0.580,0.00,0.81,-0.81
0.600,0.00,0.81,-0.81
0.640,0.00,0.82,-0.82
0.660,0.00,0.83,-0.83
0.680,0.00,0.83,-0.83
0.700,0.00,0.83,-0.83
0.720,0.00,0.84,-0.84
0.760,0.00,0.84,-0.84
0.800,0.00,0.85,-0.85
0.820,0.00,0.86,-0.86
0.840,0.00,0.86,-0.86
0.860,0.00,0.86,-0.86
0.880,0.00,0.87,-0.87
0.920,0.00,8.00,-8.00
0.940,0.00,0.88,-0.88
0.960,0.00,0.88,-0.88
1.000,0.00,0.89,-0.89
1.020,0.00,0.90,-0.90
1.060,0.00,0.90,-0.90
1.100,0.00,0.91,-0.91
1.120,0.00,0.92,-0.92
-8.979,0.00,0.97,-0.97
-8.979,0.00,0.97,-0.97
-8.970,0.00,0.97,-0.97
-8.874,0.00,0.97,-0.97
-7.910,0.00,0.97,-0.97
-7.908,0.00,0.97,-0.97
-7.906,0.00,0.97,-0.97
-7.904,0.00,0.97,-0.97
-7.902,0.00,0.98,-0.98
-7.898,0.00,0.98,-0.98
-7.896,0.00,0.98,-0.98
-7.894,0.00,0.98,-0.98
-7.892,0.00,0.98,-0.98
1.920,0.00,0.98,-0.98
1.940,0.00,0.98,-0.98
1.960,0.00,0.98,-0.98
1.980,0.00,0.98,-0.98
2.000,0.00,0.98,-0.98
2.040,0.00,0.98,-0.98
2.060,0.00,0.98,-0.98
2.080,0.00,0.98,-0.98
2.100,0.00,0.98,-0.98
2.140,0.00,0.98,-0.98
2.160,0.00,0.98,-0.98
2.180,0.00,0.98,-0.98
2.200,0.00,0.98,-0.98
2.240,0.00,8.00,-8.00
2.280,0.00,0.98,-0.98
2.300,0.00,0.98,-0.98
2.320,0.00,0.98,-0.98
2.340,0.00,0.98,-0.98
2.360,0.00,0.98,-0.98
2.380,0.00,0.98,-0.98
2.400,0.00,0.98,-0.98
2.420,0.00,0.99,-0.99
2.440,0.00,0.99,-0.99
2.460,0.00,0.99,-0.99
2.480,0.00,0.99,-0.99
2.500,0.00,0.99,-0.99
2.520,0.00,0.99,-0.99
2.540,0.00,0.99,-0.99
2.580,0.00,0.99,-0.99
2.600,0.00,0.99,-0.99
2.640,0.00,0.99,-0.99
2.660,0.00,0.99,-0.99
2.680,0.00,0.99,-0.99
2.700,0.00,0.99,-0.99
2.720,0.00,1.00,-1.00
2.740,0.00,1.00,-1.00
2.760,0.00,1.00,-1.00
2.780,0.00,1.00,-1.00
2.800,0.00,1.00,-1.00
2.820,0.00,1.00,-1.00
2.840,0.00,1.00,-1.00
2.860,0.00,1.00,-1.00
2.880,0.00,1.00,-1.00
2.920,0.00,0.00,0.00
2.940,0.00,100.00,-100.00
2.960,0.00,1.00,-1.00
2.980,0.00,1.00,-1.00
3.000,0.00,1.00,-1.00
3.020,0.00,1.01,-1.01
3.080,0.00,1.01,-1.01
3.100,0.00,1.01,-1.01
3.120,0.00,1.01,-1.01
3.140,0.00,1.01,-1.01
3.160,0.00,1.01,-1.01
3.180,0.00,1.01,-1.01
3.200,0.00,1.01,-1.01
3.220,0.00,1.01,-1.01
3.240,0.00,1.01,-1.01
3.260,0.00,1.01,-1.01
3.280,0.00,1.01,-1.01
3.300,0.00,1.01,-1.01
3.380,0.00,1.01,-1.01
3.420,0.00,1.01,-1.01
3.440,0.00,1.01,-1.01
3.460,0.00,1.01,-1.01
3.520,0.00,1.02,-1.02
3.540,0.00,1.02,-1.02
3.920,0.00,1.02,-1.02
4.280,0.00,1.02,-1.02
4.300,0.00,1.02,-1.02
4.320,0.00,1.02,-1.02
4.340,0.00,1.02,-1.02
4.360,0.00,1.02,-1.02
4.380,0.00,1.02,-1.02
4.400,0.00,1.02,-1.02
4.420,0.00,1.02,-1.02
4.440,0.00,1.02,-1.02
4.460,0.00,1.02,-1.02
4.480,0.00,1.02,-1.02
4.500,0.00,1.02,-1.02
4.520,0.00,1.02,-1.02
4.540,0.00,1.02,-1.02
4.560,0.00,1.02,-1.02
4.580,0.00,1.02,-1.02
4.600,0.00,1.01,-1.01
4.620,0.00,1.01,-1.01
4.640,0.00,1.01,-1.01
4.660,0.00,1.01,-1.01
4.680,0.00,1.01,-1.01
4.700,0.00,1.01,-1.01
4.720,0.00,1.01,-1.01
4.740,0.00,1.01,-1.01
4.760,0.00,1.01,-1.01
4.780,0.00,1.01,-1.01
4.800,0.00,1.01,-1.01
4.820,0.00,1.01,-1.01
4.840,0.00,1.01,-1.01
4.860,0.00,1.00,-1.00
4.880,0.00,1.00,-1.00
4.900,0.00,1.00,-1.00
4.920,0.00,1.00,-1.00
4.940,0.00,1.00,-1.00
4.960,0.00,1.00,-1.00
4.980,0.00,1.00,-1.00
5.000,0.00,1.00,-1.00
5.020,0.00,0.99,-0.99
5.060,0.00,0.99,-0.99
5.080,0.00,0.99,-0.99
5.100,0.00,0.99,-0.99
5.120,0.00,0.99,-0.99
5.140,0.00,0.99,-0.99
5.160,0.00,0.99,-0.99
5.180,0.00,0.99,-0.99
5.200,0.00,0.99,-0.99
5.220,0.00,0.98,-0.98
5.240,0.00,0.98,-0.98
5.280,0.00,0.98,-0.98
5.300,0.00,0.98,-0.98
5.320,0.00,0.98,-0.98
5.340,0.00,0.98,-0.98
