time_s,target_deg,measured_deg,error_deg
8.202,0.00,-0.08,0.08
8.206,0.00,0.08,-0.08
8.208,0.00,-0.08,0.08
8.212,0.00,-0.07,0.07
8.214,0.00,-0.07,0.07
8.216,0.00,-0.07,0.07
8.218,0.00,-0.07,0.07
8.220,0.00,-0.07,0.07
82.220,0.00,-0.07,0.07
82.240,0.00,-0.07,0.07
82.260,0.00,-0.06,0.06
82.300,0.00,-0.06,0.06
82.320,0.00,-0.06,0.06
82.340,0.00,-0.06,0.06
82.360,0.00,-0.06,0.06
82.400,0.00,-0.05,0.05
82.420,0.00,-0.05,0.05
82.440,0.00,-0.05,0.05
82.460,0.00,-0.05,0.05
82.480,0.00,-0.04,0.04
82.500,0.00,-0.04,0.04
82.520,0.00,-0.04,0.04
82.560,0.00,-0.03,0.03
82.580,0.00,-0.03,0.03
82.600,0.00,-0.03,0.03
82.620,0.00,-0.03,0.03
82.640,0.00,-0.02,0.02
82.660,0.00,-0.02,0.02
82.680,0.00,-0.02,0.02
82.700,0.00,-0.01,0.01
82.720,0.00,-0.01,0.01
82.740,0.00,-0.01,0.01
82.760,0.00,-0.01,0.01
82.780,0.00,-0.00,0.00
82.800,0.00,-0.00,0.00
82.820,0.00,0.00,0.00
82.840,0.00,0.01,-0.01
82.860,0.00,0.01,-0.01
82.880,0.00,0.01,-0.01
82.900,0.00,0.01,-0.01
82.920,0.00,0.02,-0.02
82.940,0.00,0.02,-0.02
82.960,0.00,0.02,-0.02
82.980,0.00,0.03,-0.03
83.000,0.00,0.03,-0.03
83.020,0.00,0.03,-0.03
83.040,0.00,0.03,-0.03
83.060,0.00,0.04,-0.04
83.080,0.00,0.04,-0.04
83.100,0.00,0.04,-0.04
83.120,0.00,0.04,-0.04
83.140,0.00,0.05,-0.05
83.160,0.00,0.05,-0.05
83.180,0.00,0.05,-0.05
83.200,0.00,0.05,-0.05
83.220,0.00,0.05,-0.05
83.240,0.00,0.06,-0.06
83.260,0.00,0.06,-0.06
83.280,0.00,0.06,-0.06
83.300,0.00,0.06,-0.06
83.320,0.00,0.07,-0.07
83.340,0.00,0.07,-0.07
83.360,0.00,0.07,-0.07
83.380,0.00,0.07,-0.07
83.400,0.00,0.07,-0.07
83.420,0.00,0.08,-0.08
83.440,0.00,0.08,-0.08
83.460,0.00,0.08,-0.08
83.480,0.00,0.08,-0.08
83.500,0.00,0.09,-0.09
83.520,0.00,0.09,-0.09
83.540,0.00,0.09,-0.09
83.560,0.00,0.09,-0.09
83.580,0.00,0.09,-0.09
83.600,0.00,0.10,-0.10
83.620,0.00,0.10,-0.10
83.640,0.00,0.10,-0.10
83.660,0.00,0.10,-0.10
83.680,0.00,0.11,-0.11
83.700,0.00,0.11,-0.11
83.720,0.00,0.11,-0.11
83.740,0.00,0.11,-0.11
83.760,0.00,0.11,-0.11
83.780,0.00,0.12,-0.12
83.800,0.00,0.12,-0.12
83.820,0.00,0.12,-0.12
83.840,0.00,0.12,-0.12
83.860,0.00,0.13,-0.13
83.880,0.00,0.13,-0.13
83.900,0.00,0.13,-0.13
83.920,0.00,0.13,-0.13
83.940,0.00,0.13,-0.13
83.960,0.00,0.13,-0.13
83.980,0.00,0.14,-0.14
84.000,0.00,0.14,-0.14
84.620,0.00,0.18,-0.18
84.820,0.00,0.20,-0.20
84.840,0.00,0.20,-0.20
84.860,0.00,0.20,-0.20
84.880,0.00,0.20,-0.20
84.900,0.00,0.20,-0.20
84.920,0.00,0.20,-0.20
84.940,0.00,0.20,-0.20
84.960,0.00,0.20,-0.20
84.980,0.00,0.20,-0.20
85.000,0.00,0.21,-0.21
85.020,0.00,0.21,-0.21
85.040,0.00,0.21,-0.21
85.060,0.00,0.21,-0.21
85.080,0.00,0.21,-0.21
85.100,0.00,0.21,-0.21
85.120,0.00,0.21,-0.21
85.140,0.00,0.21,-0.21
85.160,0.00,0.21,-0.21
85.180,0.00,0.21,-0.21
85.200,0.00,0.22,-0.22
85.220,0.00,0.22,-0.22
85.240,0.00,0.22,-0.22
85.260,0.00,0.22,-0.22
85.280,0.00,0.22,-0.22
85.300,0.00,0.22,-0.22
85.320,0.00,0.22,-0.22
85.340,0.00,0.22,-0.22
85.360,0.00,0.22,-0.22
85.380,0.00,0.22,-0.22
85.400,0.00,0.22,-0.22
85.420,0.00,0.22,-0.22
85.440,0.00,0.22,-0.22
85.460,0.00,0.22,-0.22
85.480,0.00,0.22,-0.22
85.500,0.00,0.22,-0.22
85.520,0.00,0.23,-0.23
85.540,0.00,0.23,-0.23
85.560,0.00,0.23,-0.23
85.580,0.00,0.23,-0.23
85.600,0.00,0.23,-0.23
85.620,0.00,0.23,-0.23
85.640,0.00,0.23,-0.23
85.660,0.00,0.23,-0.23
85.680,0.00,0.23,-0.23
85.700,0.00,0.23,-0.23
85.720,0.00,0.24,-0.24
85.740,0.00,0.24,-0.24
85.760,0.00,0.24,-0.24
85.780,0.00,0.24,-0.24
85.800,0.00,0.24,-0.24
85.820,0.00,0.24,-0.24
85.840,0.00,0.25,-0.25
85.860,0.00,0.25,-0.25
85.880,0.00,0.25,-0.25
85.900,0.00,0.25,-0.25
85.920,0.00,0.25,-0.25
85.940,0.00,0.25,-0.25
85.960,0.00,0.26,-0.26
85.980,0.00,0.26,-0.26
86.000,0.00,0.26,-0.26
86.020,0.00,0.26,-0.26
86.040,0.00,0.26,-0.26
86.060,0.00,0.26,-0.26
86.080,0.00,0.26,-0.26
86.100,0.00,0.26,-0.26
