time_s,target_deg,measured_deg,error_deg
0.000,0.00,18.24,-18.24
0.041,0.00,18.82,-18.82
0.450,0.00,19.01,-19.01
4.596,0.00,19.58,-19.58
4.616,0.00,19.76,-19.76
4.636,0.00,19.95,-19.95
4.656,0.00,20.14,-20.14
4.676,0.00,20.32,-20.32
4.716,0.00,20.68,-20.68
4.736,0.00,20.86,-20.86
4.776,0.00,21.21,-21.21
4.816,0.00,21.55,-21.55
4.836,0.00,21.71,-21.71
4.856,0.00,21.87,-21.87
4.896,0.00,22.19,-22.19
4.916,0.00,22.34,-22.34
4.936,0.00,22.49,-22.49
4.976,0.00,22.77,-22.77
4.996,0.00,22.90,-22.90
5.016,0.00,23.03,-23.03
5.076,0.00,23.40,-23.40
5.096,0.00,23.51,-23.51
5.136,0.00,23.71,-23.71
5.156,0.00,23.80,-23.80
5.176,0.00,23.89,-23.89
5.196,0.00,23.97,-23.97
5.216,0.00,24.05,-24.05
5.236,0.00,24.12,-24.12
5.256,0.00,24.19,-24.19
5.276,0.00,24.25,-24.25
5.296,0.00,24.00,-24.00
5.316,0.00,24.35,-24.35
5.336,0.00,24.40,-24.40
5.376,0.00,24.48,-24.48
5.396,0.00,24.51,-24.51
5.416,0.00,24.53,-24.53
5.436,0.00,24.56,-24.56
5.456,0.00,24.58,-24.58
5.476,0.00,24.59,-24.59
5.496,0.00,24.60,-24.60
5.516,0.00,24.61,-24.61
5.536,0.00,24.61,-24.61
5.556,0.00,24.61,-24.61
5.576,0.00,24.61,-24.61
5.596,0.00,24.60,-24.60
5.616,0.00,24.59,-24.59
5.636,0.00,24.58,-24.58
5.656,0.00,24.56,-24.56
5.676,0.00,24.54,-24.54
5.696,0.00,24.52,-24.52
5.716,0.00,24.50,-24.50
5.736,0.00,24.47,-24.47
5.756,0.00,24.44,-24.44
5.776,0.00,24.40,-24.40
5.816,0.00,24.33,-24.33
5.836,0.00,24.29,-24.29
5.896,0.00,24.14,-24.14
5.916,0.00,24.09,-24.09
5.936,0.00,24.03,-24.03
5.956,0.00,23.97,-23.97
5.976,0.00,23.91,-23.91
0.016,0.20,23.77,-23.57
0.036,0.40,23.70,-23.30
0.076,0.00,23.54,-23.54
0.136,1.40,23.00,-21.60
0.156,1.60,23.18,-21.58
0.176,1.80,23.08,-21.28
0.196,2.00,22.97,-20.97
0.216,2.20,22.86,-20.66
0.236,2.40,22.75,-20.35
0.256,2.60,22.63,-20.03
0.276,2.80,22.50,-19.70
0.296,3.00,22.37,-19.37
0.316,3.20,22.24,-19.04
0.336,3.40,22.10,-18.70
0.356,3.60,21.96,-18.36
0.376,3.80,21.81,-18.01
0.396,4.00,21.66,-17.66
0.416,4.20,21.50,-17.30
0.436,4.40,21.34,-16.94
0.456,4.60,21.18,-16.58
0.476,4.80,21.01,-16.21
0.496,5.00,20.83,-15.83
0.556,5.60,20.29,-14.69
0.576,5.80,20.10,-14.30
0.596,6.00,19.91,-13.91
0.616,6.20,19.72,-13.52
0.636,6.40,19.53,-13.13
0.656,6.60,19.33,-12.73
0.676,6.80,19.14,-12.34
0.696,7.00,18.94,-11.94
0.716,7.20,18.75,-11.55
0.736,7.40,18.55,-11.15
0.756,7.60,18.36,-10.76
0.776,7.80,18.17,-10.37
0.796,8.00,17.98,-9.98
0.816,8.20,17.79,-9.59
0.836,8.40,17.60,-9.20
0.856,8.60,17.42,-8.82
0.876,8.80,24.00,-15.20
0.896,9.00,17.07,-8.07
0.936,9.40,16.73,-7.33
0.956,9.00,16.56,-7.56
0.976,9.80,16.41,-6.61
0.996,10.00,16.25,-6.25
1.016,10.20,16.10,-5.90
1.036,10.40,15.95,-5.55
1.056,10.60,15.81,-5.21
1.076,10.80,15.67,-4.87
1.096,11.00,1.00,10.00
1.116,11.20,15.41,-4.21
1.136,11.40,15.29,-3.89
1.156,11.60,15.16,-3.56
1.176,11.80,15.05,-3.25
1.196,12.00,14.93,-2.93
1.236,12.40,14.71,-2.31
-0.003,18.40,13.03,5.37
1.936,19.40,12.97,6.43
-0.003,19.60,12.97,6.63
0.015,19.80,12.96,6.84
1.996,20.00,12.96,7.04
2.016,20.00,12.96,7.04
2.096,20.00,12.97,7.03
2.136,20.00,12.98,7.02
2.156,20.00,12.99,7.01
2.176,20.00,13.00,7.00
2.196,20.00,2.00,18.00
2.216,20.00,13.03,6.97
2.236,20.00,13.05,6.95
2.256,20.00,13.07,6.93
2.276,20.00,13.09,6.91
2.296,20.00,13.11,6.89
2.316,20.00,13.13,6.87
2.376,20.00,13.20,6.80
2.396,20.00,3.00,17.00
2.416,20.00,13.26,6.74
2.436,20.00,13.29,6.71
2.456,20.00,13.32,6.68
2.536,20.00,13.47,6.53
2.556,20.00,13.51,6.49
2.576,20.00,13.55,6.45
2.636,20.00,13.68,6.32
2.656,20.00,13.73,6.27
-0.001,20.00,15.74,4.26
-0.001,20.00,15.84,4.16
0.028,20.00,15.95,4.05
0.322,20.00,16.05,3.95
0.324,20.00,16.16,3.84
3.336,20.00,1.48,18.52
3.356,20.00,16.59,3.41
3.376,20.00,16.70,3.30
3.396,20.00,16.81,3.19
3.416,20.00,16.93,3.07
3.436,20.00,17.04,2.96
3.456,20.00,17.15,2.85
3.496,20.00,17.38,2.62
3.536,20.00,17.61,2.39
3.556,20.00,17.73,2.27
3.576,20.00,17.85,2.15
3.616,20.00,18.08,1.92
3.636,20.00,18.20,1.80
3.656,20.00,18.31,1.69
3.676,20.00,18.43,1.57
3.696,20.00,18.54,1.46
3.736,20.00,18.77,1.23
3.756,20.00,18.88,1.12
3.776,20.00,18.99,1.01
3.796,20.00,19.09,0.91
3.816,20.00,19.20,0.80
3.836,20.00,19.31,0.69
3.876,20.00,19.51,0.49
3.896,20.00,19.61,0.39
3.916,20.00,19.71,0.29
3.956,20.00,19.90,0.10
3.976,20.00,19.99,0.01
3.996,20.00,20.08,-0.08
4.056,20.00,20.34,-0.34
4.076,20.00,20.42,-0.42
4.096,20.00,20.50,-0.50
4.116,20.00,20.58,-0.58
4.136,20.00,20.65,-0.65
4.156,20.00,20.72,-0.72
4.176,20.00,20.79,-0.79
4.196,20.00,86.00,-66.00
4.216,20.00,20.92,-0.92
4.236,20.00,20.98,-0.98
4.256,20.00,21.04,-1.04
4.276,20.00,21.10,-1.10
4.296,20.00,21.15,-1.15
4.316,20.00,21.21,-1.21
4.336,20.00,21.26,-1.26
4.356,20.00,21.30,-1.30
4.376,20.00,21.35,-1.35
4.396,20.00,21.39,-1.39
4.416,20.00,21.43,-1.43
4.436,20.00,21.47,-1.47
4.476,20.00,21.54,-1.54
4.496,20.00,21.57,-1.57
4.516,20.00,21.60,-1.60
4.536,20.00,21.63,-1.63
4.556,20.00,21.65,-1.65
4.576,20.00,0.67,19.33
4.616,20.00,21.71,-1.71
4.636,20.00,21.73,-1.73
4.656,20.00,21.75,-1.75
4.676,20.00,21.76,-1.76
4.696,20.00,21.78,-1.78
4.716,20.00,21.79,-1.79
4.736,20.00,21.80,-1.80
4.756,20.00,21.81,-1.81
4.776,20.00,21.81,-1.81
4.796,20.00,21.82,-1.82
4.816,20.00,21.83,-1.83
4.836,20.00,21.83,-1.83
4.856,20.00,21.83,-1.83
4.876,20.00,21.83,-1.83
4.896,20.00,21.83,-1.83
4.916,20.00,21.83,-1.83
4.936,20.00,21.83,-1.83
4.956,20.00,2183.00,-2163.00
4.976,20.00,21.83,-1.83
4.996,20.00,21.82,-1.82
5.016,20.00,21.82,-1.82
5.036,20.00,21.82,-1.82
5.056,20.00,21.81,-1.81
5.076,20.00,21.81,-1.81
5.096,20.00,21.80,-1.80
5.116,20.00,219.00,-199.00
5.136,20.00,21.79,-1.79
5.156,20.00,21.78,-1.78
5.176,20.00,21.77,-1.77
5.196,20.00,21.76,-1.76
5.236,20.00,21.75,-1.75
5.256,20.00,21.74,-1.74
5.296,20.00,21.72,-1.72
5.316,20.00,21.71,-1.71
6.156,20.00,21.01,-1.01
6.176,20.00,20.99,-0.99
6.196,20.00,20.97,-0.97
6.216,20.00,20.95,-0.95
6.276,20.00,20.89,-0.89
6.296,20.00,20.87,-0.87
6.316,20.00,20.86,-0.86
6.356,20.00,20.82,-0.82
6.376,20.00,20.80,-0.80
6.396,20.00,20.78,-0.78
6.416,20.00,20.76,-0.76
6.436,20.00,20.74,-0.74
6.456,20.00,20.72,-0.72
6.476,20.00,20.70,-0.70
6.496,20.00,20.68,-0.68
6.536,20.00,20.64,-0.64
6.556,20.00,20.62,-0.62
6.576,20.00,20.60,-0.60
6.596,20.00,20.58,-0.58
6.616,20.00,20.56,-0.56
6.636,20.00,20.55,-0.55
6.656,20.00,20.53,-0.53
6.676,20.00,20.51,-0.51
6.696,20.00,20.49,-0.49
6.716,20.00,20.47,-0.47
6.756,20.00,20.43,-0.43
6.776,20.00,20.41,-0.41
6.816,20.00,20.36,-0.36
6.836,20.00,20.34,-0.34
6.876,20.00,20.30,-0.30
6.896,20.00,20.28,-0.28
6.916,20.00,20.25,-0.25
6.936,20.00,20.23,-0.23
6.956,20.00,20.21,-0.21
6.976,20.00,20.19,-0.19
0.016,19.87,20.14,-0.27
0.036,19.73,20.12,-0.39
0.056,19.60,20.10,-0.50
0.096,19.33,20.05,-0.72
0.116,19.20,20.03,-0.83
0.136,19.07,20.01,-0.94
0.156,18.93,19.99,-1.06
0.176,18.80,19.97,-1.17
0.196,18.67,19.94,-1.27
0.216,18.53,19.92,-1.39
0.236,18.40,19.90,-1.50
0.256,18.27,19.88,-1.61
0.276,18.13,19.86,-1.73
0.296,18.00,19.84,-1.84
0.316,17.87,19.81,-1.94
0.336,17.73,19.79,-2.06
0.356,17.60,19.77,-2.17
0.376,17.47,19.75,-2.28
0.396,17.33,19.72,-2.39
0.436,17.07,19.68,-2.61
0.456,16.93,19.66,-2.73
0.476,16.80,19.63,-2.83
0.496,16.67,19.61,-2.94
0.516,16.53,19.59,-3.06
0.536,16.40,19.57,-3.17
0.556,16.27,19.54,-3.27
0.576,16.13,19.52,-3.39
0.596,16.00,19.50,-3.50
0.616,15.87,19.47,-3.60
