time_s,target_deg,measured_deg,error_deg
0.000,0.00,-51.60,51.60
-45.056,0.00,-51.64,51.64
-45.056,0.00,-51.66,51.66
-45.015,0.00,-51.68,51.68
-40.540,0.00,-51.73,51.73
-40.538,0.00,-51.74,51.74
-40.536,0.00,-51.75,51.75
-40.534,0.00,-51.77,51.77
0.220,0.00,-51.78,51.78
-40.530,0.00,-51.79,51.79
-40.524,0.00,-51.82,51.82
0.320,0.00,-51.83,51.83
0.340,0.00,-51.83,51.83
0.360,0.00,-51.84,51.84
0.380,0.00,-51.85,51.85
0.400,0.00,-51.85,51.85
0.420,0.00,-51.86,51.86
0.440,0.00,-51.86,51.86
0.460,0.00,-51.87,51.87
0.500,0.00,-51.87,51.87
0.520,0.00,-51.87,51.87
0.540,0.00,-51.88,51.88
0.560,0.00,-51.88,51.88
0.580,0.00,-51.88,51.88
0.600,0.00,-51.88,51.88
0.620,0.00,-51.88,51.88
0.640,0.00,-51.88,51.88
0.660,0.00,-51.88,51.88
0.680,0.00,-51.88,51.88
0.700,0.00,-51.88,51.88
0.720,0.00,-51.88,51.88
0.740,0.00,-51.88,51.88
0.760,0.00,-51.88,51.88
0.780,0.00,-51.88,51.88
0.800,0.00,-51.88,51.88
0.820,0.00,-51.88,51.88
0.840,0.00,-51.88,51.88
0.860,0.00,-51.88,51.88
0.880,0.00,-51.88,51.88
0.900,0.00,-51.89,51.89
0.920,0.00,-51.89,51.89
0.940,0.00,-51.89,51.89
0.960,0.00,-51.89,51.89
0.980,0.00,-51.89,51.89
1.000,0.00,-51.89,51.89
1.020,0.00,-51.89,51.89
1.040,0.00,-51.90,51.90
1.060,0.00,-51.90,51.90
1.080,0.00,-51.90,51.90
1.100,0.00,-51.90,51.90
1.120,0.00,-51.91,51.91
1.140,0.00,-51.91,51.91
1.160,0.00,-51.91,51.91
1.180,0.00,-51.91,51.91
1.200,0.00,-51.92,51.92
1.220,0.00,-51.92,51.92
1.240,0.00,-51.93,51.93
1.260,0.00,-51.93,51.93
1.280,0.00,-51.94,51.94
1.300,0.00,-51.94,51.94
1.320,0.00,-51.95,51.95
1.340,0.00,-51.95,51.95
1.360,0.00,-51.96,51.96
1.380,0.00,-51.97,51.97
1.400,0.00,-51.98,51.98
1.420,0.00,-51.98,51.98
1.440,0.00,-51.99,51.99
1.460,0.00,-52.00,52.00
1.480,0.00,-52.01,52.01
1.500,0.00,-52.03,52.03
1.520,0.00,-52.04,52.04
1.540,0.00,-52.05,52.05
1.560,0.00,-52.06,52.06
1.580,0.00,-52.08,52.08
1.600,0.00,-52.09,52.09
1.620,0.00,-52.11,52.11
1.640,0.00,-52.12,52.12
1.660,0.00,-52.14,52.14
1.680,0.00,-52.15,52.15
1.700,0.00,-52.17,52.17
1.720,0.00,-52.19,52.19
1.740,0.00,-52.21,52.21
1.760,0.00,-52.23,52.23
1.780,0.00,-52.24,52.24
1.800,0.00,-52.26,52.26
1.820,0.00,-52.28,52.28
1.840,0.00,-52.30,52.30
1.860,0.00,-52.32,52.32
1.880,0.00,-52.34,52.34
1.900,0.00,-52.37,52.37
1.920,0.00,-52.39,52.39
1.940,0.00,-52.41,52.41
1.960,0.00,-52.43,52.43
1.980,0.00,-52.45,52.45
