time_s,target_deg,measured_deg,error_deg
0.000,0.00,0.72,-0.72
0.009,0.00,0.72,-0.72
0.105,0.00,0.71,-0.71
1.065,0.00,1.00,-1.00
1.067,0.00,0.70,-0.70
1.071,0.00,0.70,-0.70
1.073,0.00,0.00,0.00
1.075,0.00,0.69,-0.69
1.077,0.00,0.69,-0.69
10.839,0.00,0.68,-0.68
10.859,0.00,0.68,-0.68
10.899,0.00,0.68,-0.68
10.919,0.00,0.67,-0.67
10.939,0.00,0.67,-0.67
10.979,0.00,0.66,-0.66
11.019,0.00,0.66,-0.66
11.039,0.00,0.65,-0.65
11.059,0.00,0.65,-0.65
11.079,0.00,0.00,0.00
11.099,0.00,0.65,-0.65
11.139,0.00,0.64,-0.64
11.159,0.00,0.63,-0.63
11.179,0.00,0.63,-0.63
11.199,0.00,0.63,-0.63
11.219,0.00,0.62,-0.62
11.239,0.00,0.62,-0.62
11.259,0.00,0.61,-0.61
11.299,0.00,0.61,-0.61
11.319,0.00,0.60,-0.60
11.339,0.00,0.60,-0.60
11.359,0.00,0.59,-0.59
11.379,0.00,0.59,-0.59
11.399,0.00,0.58,-0.58
11.419,0.00,0.58,-0.58
11.439,0.00,0.57,-0.57
11.499,0.00,0.55,-0.55
11.519,0.00,0.55,-0.55
11.539,0.00,0.54,-0.54
11.559,0.00,0.53,-0.53
11.579,0.00,0.53,-0.53
11.599,0.00,0.52,-0.52
11.619,0.00,0.51,-0.51
11.639,0.00,0.51,-0.51
11.739,0.00,0.47,-0.47
11.759,0.00,0.47,-0.47
11.779,0.00,0.46,-0.46
11.799,0.00,0.45,-0.45
11.819,0.00,0.44,-0.44
11.839,0.00,0.44,-0.44
11.859,0.00,0.43,-0.43
11.879,0.00,0.42,-0.42
11.939,0.00,0.40,-0.40
11.959,0.00,0.40,-0.40
11.979,0.00,0.39,-0.39
11.999,0.00,0.39,-0.39
12.019,0.00,0.38,-0.38
12.039,0.00,0.00,0.00
12.079,0.00,0.37,-0.37
12.099,0.00,0.36,-0.36
12.119,0.00,0.36,-0.36
12.139,0.00,0.35,-0.35
12.159,0.00,0.35,-0.35
12.179,0.00,0.34,-0.34
12.199,0.00,0.34,-0.34
12.219,0.00,0.34,-0.34
12.239,0.00,0.33,-0.33
12.279,0.00,0.32,-0.32
12.319,0.00,0.32,-0.32
12.339,0.00,0.31,-0.31
12.379,0.00,0.31,-0.31
12.399,0.00,0.30,-0.30
13.159,0.00,0.21,-0.21
13.179,0.00,0.21,-0.21
13.199,0.00,0.21,-0.21
13.219,0.00,0.21,-0.21
13.239,0.00,0.20,-0.20
13.259,0.00,0.20,-0.20
13.299,0.00,0.20,-0.20
13.319,0.00,0.19,-0.19
13.339,0.00,0.19,-0.19
13.359,0.00,0.19,-0.19
13.379,0.00,0.19,-0.19
13.399,0.00,0.18,-0.18
13.419,0.00,0.18,-0.18
13.439,0.00,0.18,-0.18
13.459,0.00,0.17,-0.17
13.479,0.00,0.17,-0.17
13.499,0.00,0.17,-0.17
13.519,0.00,0.16,-0.16
13.539,0.00,0.16,-0.16
13.559,0.00,0.15,-0.15
13.579,0.00,0.15,-0.15
13.619,0.00,0.14,-0.14
13.639,0.00,0.14,-0.14
13.659,0.00,0.13,-0.13
13.679,0.00,0.13,-0.13
13.699,0.00,0.12,-0.12
13.739,0.00,0.11,-0.11
13.759,0.00,0.11,-0.11
13.779,0.00,0.11,-0.11
13.799,0.00,0.10,-0.10
13.819,0.00,0.10,-0.10
13.839,0.00,0.29,-0.29
13.859,0.00,0.09,-0.09
13.879,0.00,0.09,-0.09
13.899,0.00,0.08,-0.08
13.919,0.00,0.08,-0.08
13.939,0.00,0.08,-0.08
13.959,0.00,0.07,-0.07
13.979,0.00,0.07,-0.07
13.999,0.00,0.07,-0.07
14.019,0.00,0.06,-0.06
14.039,0.00,0.06,-0.06
